latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
22.49739,97.63658,327.2,0.42,0.37,2021-01-07,0630,1,nominal,2.0NRT,299.5,2.2,D
18.65861,101.59544,330.6,0.39,0.36,2021-01-07,0630,1,nominal,2.0NRT,297.1,3.3,D
18.35008,99.36092,337,0.4,0.37,2021-01-07,0630,1,nominal,2.0NRT,300.6,4.3,D
18.35283,99.3566,336,0.4,0.37,2021-01-07,0630,1,nominal,2.0NRT,301.9,4,D
18.75199,101.8377,326.9,0.39,0.36,2021-01-07,0630,1,nominal,2.0NRT,298.1,2,D
18.38515,99.40851,339.8,0.4,0.37,2021-01-07,0630,1,nominal,2.0NRT,301.4,4.9,D
18.37482,99.25659,335.3,0.4,0.37,2021-01-07,0630,1,nominal,2.0NRT,299.5,7.5,D
18.43253,99.56075,335.4,0.39,0.37,2021-01-07,0630,1,nominal,2.0NRT,301.4,3.2,D
18.45017,99.60707,340.1,0.39,0.36,2021-01-07,0630,1,nominal,2.0NRT,301,3.6,D
18.19836,97.98402,338.8,0.44,0.39,2021-01-07,0630,1,nominal,2.0NRT,298.9,4.9,D
18.59093,100.15771,335.1,0.39,0.36,2021-01-07,0630,1,nominal,2.0NRT,302,3.3,D
18.50618,99.06262,338,0.4,0.37,2021-01-07,0630,1,nominal,2.0NRT,300.8,5.5,D
18.66376,100.01425,330,0.39,0.36,2021-01-07,0630,1,nominal,2.0NRT,301.8,0.9,D
18.61312,99.58241,339.2,0.39,0.36,2021-01-07,0630,1,nominal,2.0NRT,300.6,4.4,D
18.37825,98.08578,331.1,0.44,0.38,2021-01-07,0630,1,nominal,2.0NRT,293.3,3.2,D
18.81953,100.76479,339,0.38,0.36,2021-01-07,0630,1,nominal,2.0NRT,299.9,3.8,D
18.45589,98.38485,342.2,0.43,0.38,2021-01-07,0630,1,nominal,2.0NRT,302.2,16,D
18.45524,98.38085,332.4,0.43,0.38,2021-01-07,0630,1,nominal,2.0NRT,300.8,5.6,D
18.45503,98.38512,332.8,0.42,0.38,2021-01-07,0630,1,nominal,2.0NRT,299.6,9.9,D
18.45436,98.38112,331.6,0.43,0.38,2021-01-07,0630,1,nominal,2.0NRT,300.6,4.5,D
18.45848,98.38452,339.6,0.42,0.38,2021-01-07,0630,1,nominal,2.0NRT,301.8,9.9,D
18.45781,98.38052,333,0.43,0.38,2021-01-07,0630,1,nominal,2.0NRT,299.4,4.5,D
18.72697,99.93915,337,0.39,0.36,2021-01-07,0630,1,nominal,2.0NRT,300,3.4,D
18.85468,100.74712,332.1,0.38,0.36,2021-01-07,0630,1,nominal,2.0NRT,298.2,2.6,D
18.69202,99.5871,329.6,0.39,0.36,2021-01-07,0630,1,nominal,2.0NRT,298.7,1.2,D
19.00557,101.50878,333.3,0.39,0.36,2021-01-07,0630,1,nominal,2.0NRT,301.8,3.1,D
18.83026,99.96978,339.4,0.39,0.36,2021-01-07,0630,1,nominal,2.0NRT,301.6,8.3,D
18.76767,99.55091,335.2,0.39,0.36,2021-01-07,0630,1,nominal,2.0NRT,302.2,2.9,D
18.771,99.55034,329.6,0.39,0.36,2021-01-07,0630,1,low,2.0NRT,301,2.9,D
18.58271,98.39158,331.9,0.42,0.38,2021-01-07,0630,1,nominal,2.0NRT,300.5,2.9,D
18.58203,98.38745,327.7,0.42,0.38,2021-01-07,0630,1,low,2.0NRT,301,2.9,D
18.70802,99.13544,335.6,0.4,0.37,2021-01-07,0630,1,nominal,2.0NRT,300.1,2.3,D
18.65483,98.80788,355.6,0.41,0.37,2021-01-07,0630,1,nominal,2.0NRT,302.2,12.8,D
18.58546,98.38683,332.6,0.42,0.38,2021-01-07,0630,1,nominal,2.0NRT,300.3,3.7,D
18.58414,98.37884,331.7,0.42,0.38,2021-01-07,0630,1,nominal,2.0NRT,299.3,4.9,D
18.58891,98.38625,338.3,0.42,0.38,2021-01-07,0630,1,nominal,2.0NRT,301.5,3.7,D
18.59236,98.38569,329.7,0.42,0.38,2021-01-07,0630,1,low,2.0NRT,301.1,4.7,D
18.85351,99.9883,342.5,0.39,0.36,2021-01-07,0630,1,nominal,2.0NRT,300.8,6.5,D
18.6775,98.88284,333.9,0.41,0.37,2021-01-07,0630,1,nominal,2.0NRT,299.5,3.6,D
18.60147,98.35512,333.7,0.42,0.38,2021-01-07,0630,1,nominal,2.0NRT,298.6,3.6,D
18.5608,98.11037,328,0.43,0.38,2021-01-07,0630,1,low,2.0NRT,299.8,5,D
18.1654,95.83369,330.5,0.57,0.43,2021-01-07,0630,1,low,2.0NRT,301.4,4.2,D
18.92511,100.36374,329.3,0.38,0.36,2021-01-07,0630,1,nominal,2.0NRT,301.3,2.2,D
18.83089,99.53999,341.1,0.39,0.36,2021-01-07,0630,1,nominal,2.0NRT,298.7,4.3,D
19.14389,101.55,327.9,0.39,0.36,2021-01-07,0630,1,low,2.0NRT,302.1,1.9,D
18.86402,99.59867,329.3,0.39,0.36,2021-01-07,0630,1,nominal,2.0NRT,299.4,1.3,D
18.11413,95.11787,337.3,0.42,0.45,2021-01-07,0630,1,nominal,2.0NRT,298.5,3.4,D
18.11824,95.11703,343.8,0.42,0.45,2021-01-07,0630,1,nominal,2.0NRT,299.9,13.1,D
18.11752,95.11316,352.3,0.42,0.45,2021-01-07,0630,1,nominal,2.0NRT,300.1,13.1,D
18.45162,96.74347,332,0.5,0.41,2021-01-07,0630,1,nominal,2.0NRT,298.7,5.6,D
18.4508,96.73875,330.5,0.5,0.41,2021-01-07,0630,1,nominal,2.0NRT,301.4,5.6,D
18.5539,97.29323,339.7,0.47,0.4,2021-01-07,0630,1,nominal,2.0NRT,301.3,5.7,D
18.43431,96.59993,341,0.51,0.41,2021-01-07,0630,1,nominal,2.0NRT,302.8,4.6,D
18.43348,96.59516,329.4,0.51,0.41,2021-01-07,0630,1,low,2.0NRT,302.2,4.6,D
18.96441,99.65329,330.7,0.39,0.36,2021-01-07,0630,1,low,2.0NRT,301.1,1.6,D
18.46053,96.59489,329.3,0.51,0.41,2021-01-07,0630,1,low,2.0NRT,302.3,1.9,D
18.97219,99.6595,342.1,0.39,0.36,2021-01-07,0630,1,nominal,2.0NRT,300.2,5,D
18.98445,99.67249,337.8,0.39,0.36,2021-01-07,0630,1,nominal,2.0NRT,303.3,3.5,D
19.01396,99.66712,332.9,0.39,0.36,2021-01-07,0630,1,nominal,2.0NRT,301.2,2.1,D
18.26012,95.06458,344.4,0.42,0.45,2021-01-07,0630,1,nominal,2.0NRT,301.4,4.1,D
19.13205,99.96628,337.4,0.39,0.36,2021-01-07,0630,1,nominal,2.0NRT,302.8,4.3,D
18.76328,97.3513,342.8,0.46,0.39,2021-01-07,0630,1,nominal,2.0NRT,301.5,6.9,D
19.03066,98.93857,335.4,0.4,0.37,2021-01-07,0630,1,nominal,2.0NRT,300.5,4.4,D
19.39728,101.26671,339.4,0.39,0.36,2021-01-07,0630,1,nominal,2.0NRT,299,19.1,D
19.41113,101.22306,340,0.39,0.36,2021-01-07,0630,1,nominal,2.0NRT,306.4,10.9,D
18.45364,95.36612,340.3,0.4,0.44,2021-01-07,0630,1,nominal,2.0NRT,304.3,8.8,D
19.52845,101.93007,325.5,0.4,0.37,2021-01-07,0630,1,nominal,2.0NRT,300.5,1.4,D
19.2595,99.93217,342.3,0.39,0.36,2021-01-07,0630,1,nominal,2.0NRT,305.6,13.6,D
18.73507,96.58231,340,0.51,0.41,2021-01-07,0630,1,nominal,2.0NRT,300.4,7.8,D
18.51497,95.33357,330.8,0.4,0.44,2021-01-07,0630,1,low,2.0NRT,303.7,3.2,D
19.28617,99.86383,342.8,0.39,0.36,2021-01-07,0630,1,nominal,2.0NRT,301.4,2.7,D
18.74652,96.42649,331.5,0.52,0.41,2021-01-07,0630,1,nominal,2.0NRT,300.1,3.2,D
18.54436,95.24221,335.1,0.4,0.45,2021-01-07,0630,1,low,2.0NRT,306.5,4.5,D
18.53613,95.19663,336.2,0.41,0.45,2021-01-07,0630,1,nominal,2.0NRT,304.1,3.8,D
18.55046,95.25277,331.5,0.4,0.45,2021-01-07,0630,1,low,2.0NRT,304.1,3.6,D
18.55985,95.2351,340.6,0.41,0.45,2021-01-07,0630,1,nominal,2.0NRT,305.3,2.7,D
19.28879,99.55434,333.8,0.39,0.36,2021-01-07,0630,1,nominal,2.0NRT,299.2,4.9,D
19.34357,99.88391,333.9,0.39,0.36,2021-01-07,0630,1,nominal,2.0NRT,300.6,3.3,D
18.56008,95.2355,343.4,0.4,0.45,2021-01-07,0630,1,nominal,2.0NRT,305,2.9,D
18.56396,95.21128,332,0.41,0.45,2021-01-07,0630,1,low,2.0NRT,302.7,1.3,D
18.56547,95.15152,345.1,0.41,0.45,2021-01-07,0630,1,nominal,2.0NRT,308,6.4,D
18.56954,95.1507,336.7,0.41,0.45,2021-01-07,0630,1,low,2.0NRT,307.3,3,D
18.96951,97.36846,333.1,0.46,0.39,2021-01-07,0630,1,low,2.0NRT,304,3.2,D
19.29875,99.31711,335.2,0.4,0.37,2021-01-07,0630,1,nominal,2.0NRT,300.7,3.8,D
18.60361,95.17555,353.7,0.41,0.45,2021-01-07,0630,1,nominal,2.0NRT,304.3,6.2,D
18.60291,95.17172,336.3,0.41,0.45,2021-01-07,0630,1,nominal,2.0NRT,303.9,3.5,D
19.39079,99.79308,329.2,0.39,0.36,2021-01-07,0630,1,nominal,2.0NRT,303.9,1.8,D
18.60766,95.17472,339.8,0.41,0.45,2021-01-07,0630,1,nominal,2.0NRT,304.1,3,D
19.39409,99.7925,330.8,0.39,0.36,2021-01-07,0630,1,nominal,2.0NRT,304.4,1.8,D
18.65198,95.39478,333.6,0.39,0.44,2021-01-07,0630,1,nominal,2.0NRT,303.5,4.3,D
18.65598,95.39399,344.1,0.39,0.44,2021-01-07,0630,1,nominal,2.0NRT,304.2,3.5,D
18.65531,95.39029,332.3,0.4,0.44,2021-01-07,0630,1,low,2.0NRT,304.1,3.5,D
