latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
28.365,101.84,313.8,2.1,1.4,2021-01-07,0330,T,74,6.0NRT,282.6,45.5,D
28.28,101.641,302.6,2.2,1.4,2021-01-07,0330,T,40,6.0NRT,287.3,18,D
28.277,101.669,302.5,2.2,1.4,2021-01-07,0330,T,43,6.0NRT,283.9,17.6,D
28.279,101.659,309.6,2.2,1.4,2021-01-07,0330,T,67,6.0NRT,286.2,31,D
27.971,100.947,301.8,2.4,1.5,2021-01-07,0330,T,41,6.0NRT,287.4,17.7,D
26.784,100.621,306.6,2.5,1.5,2021-01-07,0330,T,64,6.0NRT,284.6,23.2,D
26.782,100.647,317.4,2.5,1.5,2021-01-07,0330,T,78,6.0NRT,289.6,53.4,D
26.629,101.96,315.3,2,1.4,2021-01-07,0330,T,27,6.0NRT,295.2,24.9,D
26.604,101.556,312.8,2.1,1.4,2021-01-07,0330,T,73,6.0NRT,293.7,26.8,D
26.565,101.944,310.5,2,1.4,2021-01-07,0330,T,68,6.0NRT,295.6,15.6,D
16.657,101.002,321.3,1.7,1.3,2021-01-07,0335,T,75,6.0NRT,295.1,31.8,D
16.655,101.017,310.2,1.7,1.3,2021-01-07,0335,T,46,6.0NRT,295,11.6,D
15.243,101.07,314.1,1.6,1.2,2021-01-07,0335,T,50,6.0NRT,298.2,10.4,D
14.09,101.325,315.3,1.5,1.2,2021-01-07,0335,T,64,6.0NRT,295.8,9.3,D
26.795,95.404,322.3,4.6,2,2021-01-07,0510,T,77,6.0NRT,286.2,186.1,D
26.794,95.399,319.4,4.6,2,2021-01-07,0510,T,79,6.0NRT,286.6,160,D
27.429,92,313.2,2.6,1.5,2021-01-07,0510,T,73,6.0NRT,278.3,56.7,D
27.424,92.024,312.6,2.6,1.5,2021-01-07,0510,T,71,6.0NRT,279.4,54.8,D
27.423,91.994,302.6,2.6,1.5,2021-01-07,0510,T,53,6.0NRT,278.7,32.4,D
27.418,92.017,316.8,2.6,1.5,2021-01-07,0510,T,77,6.0NRT,279.6,73.5,D
26.61,95.247,323.2,4.5,2,2021-01-07,0510,T,62,6.0NRT,283.2,179.2,D
26.61,95.236,323.9,4.5,2,2021-01-07,0510,T,0,6.0NRT,283.6,190.6,D
28.801,82.486,312.5,1.1,1,2021-01-07,0510,T,57,6.0NRT,290.1,12.7,D
28.602,83.719,310.5,1,1,2021-01-07,0510,T,25,6.0NRT,295.4,12.9,D
26.71,93.612,303.1,3.4,1.7,2021-01-07,0510,T,0,6.0NRT,292,28,D
28.452,83.612,323.2,1,1,2021-01-07,0510,T,82,6.0NRT,293.2,21.4,D
27.519,88.972,303,1.6,1.2,2021-01-07,0510,T,34,6.0NRT,283.7,13.4,D
